@relation sortaGarbia-weka.filters.unsupervised.attribute.Remove-R3-4

@attribute Topic {twitter,google,apple,microsoft}
@attribute Sentiment {negative,positive,neutral,irrelevant}
@attribute TweetText string

@data
google,positive,'Not impressed much with the new Android update But good signs a readable font emphasis on design and less nerdiness google'
twitter,negative,'Twitter Side Affects include Procrastination No Sleep Unable to Focus on ANYTHING Subtweeting RT TT and Low Batteries'
google,irrelevant,'Non mais WTF RT Google passe en HTTPS un drame pour les statistiques analytics Google via'
twitter,irrelevant,'me acabo de dar cuenta q tengo mas seguidores en Twitter D gracias y espero q sigan sumandoo mas y mas D para seguir aun mas activo aki'
google,irrelevant,'jajaja buscalo en google y ve como esta jajaja'
google,irrelevant,'AsiaClassifiedToday YHOO Q Conf Call B Asian Assets B Market Cap Barrons bl asia google ads'
google,neutral,'google galaxy nexus I WANT A PHONE PLEASE TALK ABOUT OTHER FEATURES NOW THE CAMERA IS ONLY ONE PART'
google,neutral,'RT Were waiting patiently for Google business pages Anyone else wanting to jump on board avtweeps google'
twitter,irrelevant,'Abonnez vous et Suivez toute l actualité sur Twitter Tunisie TunisieNews News'
google,irrelevant,'AsiaClassifiedToday Parkway Novena Hospital to offer premier healthcare service in Asia The Bor asia google'
google,neutral,'Google Says ICS Is Coming To The Nexus S And Theoretically Should Work With Devices'
apple,positive,'Good support fm Kevin Bellevue store biz customers TY'
apple,positive,'you made it too easy for me to switch to iPhone See ya'
twitter,neutral,'Put your twitter on autopilot and let it gain followers for you TeamFollowBack Twitter autopilot aday'
google,irrelevant,'Bob Harper BobHarper Bob Harper google youtube'
apple,negative,'I really hate that wont let you hide the Newsstand app or move it into a folder It serves no purpose for me'
apple,irrelevant,'New mov store starringichiro REPEAT PATTERN moda'
twitter,irrelevant,'RT RT RT RT Que lo mataron por Twitter ya RT Que le paso a OsmelxD'
google,irrelevant,'Google Google Event Ice Cream Sandwich Caschys Blog Widgets lassen sich jetzt auch unter XINGPro'
microsoft,neutral,'RT Microsoft Turns Your Body Into A Touchscreen via'
apple,positive,'Loving the new iPod update'
apple,neutral,'The Great Tech War Of and duking it out via'
microsoft,neutral,'How to use search folders to organise your emails in Microsoft Outlook'
apple,neutral,'Couldnt help it explored the iphones store talked to Siri Shouldve tried to speak to her in French nexttime'
apple,neutral,'macbreak weekly via airplay in full HD on the finally'
microsoft,irrelevant,'Una video intervista con la Microsoft per il protagonista dellinnovazione sei tu'
google,positive,'Googles IceCreamSandwich was revealed Im getting an Android whenever I get a new phone but Im keeping my iPhone for now'
twitter,irrelevant,'RT TeamFollowBack TFB MustFollow MF FollowNow FN FollowFriday FF IFB Twitter Follow ltlt oooh'
google,positive,'RT LITERALLY HAD MY MIND BLOWN AWAY JUST NOW Google Samsung'
twitter,irrelevant,'Sigue ah con su nueva cuenta en Twitter'
google,neutral,'Cool Infographic Perks working for the big techs like Google Facebook'
twitter,irrelevant,'Porra mo cara que nao entro no TWITTER mais um Salve pra vcs e amanha tem mais flllws pra quem fika bora laah pra quem vai ksoaksopk'
google,neutral,'How do you get pink eye Google autocomplete'
apple,irrelevant,'Verzoek aan voor iphone koppel agenda aan bellen Zo kun je in afspraak opgeslagen telnummer meteen aantikken en bellen thnx'
google,neutral,'Google Docs Updates Presentations With RealTime Collaboration New Themes Transitions and More Updates'
apple,positive,'My wife upgraded her iPhone I think Siri alone is worth the upgrade Looking forward to continuing to enhance Siri'
apple,negative,'FUCK YOU DIE IN A FUCKING BLAZE INFERNO'
apple,negative,'Life was much easier when and were just fruits'
microsoft,neutral,'Tomorrow at SAPTechEd Bangalore SAP Microsoft Building Apps for Both Worlds w DuetEnterprise SAPGateway'
google,positive,'Im an iOs user but the ICS is awesome great job google'
google,neutral,'Google and Samsung Reveals Galaxy Nexus Phone mobile software android mobiledevice'
microsoft,positive,'RT Microsoft Research shows Holodesk looks like science fiction but is science fact Cool but no sound'
apple,negative,'You can make photo albums in the Photos app with iOS but cant password protect them Um fix that Quickly'
google,neutral,'Google announces NFCbased Android Beam for sharing between phones'
twitter,irrelevant,'Michael Jackson Quiñonez jugador de la Selección que está en los Panamericanos es TT tendencia mundial en Twitter'
twitter,irrelevant,'parado no twitter'
google,irrelevant,'RT Messagerie vocale directement dans ICS google nexusprime'
microsoft,irrelevant,'Une seconde démo pour Sonic Generations Bien que Sonic Generations ne soit plus trs loin Microsoft Xbox'
google,irrelevant,'Google ranked funniest FUNNY tshirts on the net Sushi BarExam lawschool lawyers SALE humor lawyers'
google,positive,'Dear Google I want the Galaxy Nexus NOW Please send it to me by email or something I know you have the technology'
microsoft,neutral,'Thank you my friend Much appreciated and keep up the great work I hope you clean house on Microsoft Rewards here Retail'
apple,neutral,'needs to take down the Steve Jobs tribute and get back to promoting the brand put the Cloud on the front page and start explaining'
apple,positive,'than apologize to'
apple,neutral,'Noticed how has added the like tweet icons on their page like facebook tweet'
twitter,neutral,'GOODNITEE TWITTER'
apple,negative,'Why is Siri always down'
twitter,neutral,'RT Instead of updating your Twitter why dont you update your life'
google,irrelevant,'C seo linkbuilding backlinks addurl bookmarks google'
apple,neutral,'Check this video out moe plays Live on iPads Video dedicated in memory of SteveJobs brilliant'
microsoft,neutral,'A ChildsEye View Of Microsofts Kinect For Kids via'
twitter,irrelevant,'Realmente no se por que ponen cosas de twitter en fb vv facebook es FB Y twitter es TWITTER Cmon vv'
google,irrelevant,'Mit einfachen Mittel gegen Facebook Google so die Strategie von Costolo CEO von Twitter SocialMedia'
apple,positive,'Finally got my iPhone S thanks Stupid Learned my lesson'
apple,neutral,'I want to integrate Siri with'
google,irrelevant,'Le Galaxy Nexus a lair bien sympa et ICS bien repensé Reste voir les tests google android'
apple,negative,'Smashed yet another iPhone screen When are gonna make the phone more durable Tired of fixing it myself'
microsoft,neutral,'RT Microsoft Stores offer up free Windows Phone devices microsoft microsoftstores neowin'
twitter,neutral,'RT HEY EVERYBODY THAT HAS A TWITTER FOLLOW ME NOWW'
twitter,neutral,'Oomf dnt start dis sht on twitter'
google,irrelevant,'The ARM CortexA Processors pdf ebook google'
microsoft,neutral,'Nokia Renders Revealed mobilenews android gingerbread microsoft nokia nokian'
microsoft,irrelevant,'Regístrate para asistir este de noviembre al lanzamiento de Microsoft Dynamics AX'
microsoft,neutral,'RT Leaving for smau Ill be at the Microsoft stand as a trainer for the wpdev labs Meet me there'
google,irrelevant,'Nouvelle application Contacts les connections Linkedin Twitter sont enfin intégrées google nexusprime'
apple,neutral,'Why are you asking us Apple dont read messages on Twitter and Apple arent either'
microsoft,neutral,'HEUTE Microsoft Office Home Student Product Key Card User statt nur'
microsoft,irrelevant,'Ich glaube ich habe mich gut auf die Prfung morgen vorbereitet Microsoft MCITP HyperV'
microsoft,neutral,'Microsoft Search Idea Could Let You Search Like Miley'
twitter,neutral,'got one of the dopest blogs on Twitter and Tumblr RealTalk'
apple,neutral,'I just told my S she was a stupid bitch and her reply was if you insist lol'
twitter,neutral,'twitter for those statuses youd never post on facebook'
twitter,irrelevant,'a mimir Nos leemos mañanaa Twitter Off'
microsoft,neutral,'Microsoft CEO says company got lucky when Yahoo deal fell apart microsoft steveballmer'
apple,neutral,'why no Macbook mirroring onto AppleTV via Airplay'
apple,neutral,'Win an iPod Touch from get the Hello World Baby Memories App PampersHelloApps'
microsoft,neutral,'Not even the Durban rain can stop the part Prime Circle rocking Microsoft techedafrica'
google,irrelevant,'Android Beam Compartilhamentovia NFC icecreamsandwich galaxynexus google samsung'
apple,neutral,'Steve Jobs unconventional leadership secret ACC SmartBrief gt sm HR NEHRA'
microsoft,neutral,'Microsoft and Nokia Announce suite of Microsoft Apps for Nokias Symbian Belle Platform WP WP'
twitter,neutral,'My twitter age is year days hour minutes seconds Find out yours at twittertime'
google,neutral,'yea Ive seen my location waaaay off on google sites Not a big deal but still strange spookygoogle'
google,irrelevant,'majeeee yo cuando reuna bastante pisto me voy a comprar los que usa puuuuuta son tan vergones buscalos en google'
microsoft,irrelevant,'RT En daar gaan we weer pakt vergrootglas erbij zoeken naar die leuke nieuwe collega vacature'
apple,negative,'give me my apps back'
microsoft,neutral,'microsoft volume microsoft powerpoint procedural syntax GO with Microsoft PowerPoint Volume'
microsoft,neutral,'Congratulations to Softline Pastel for winning ISV of the Year at Microsoft partnersummit'
twitter,positive,'My tweet goes to twitter Thanks for providing me with another way of keeping me busy during school'
microsoft,neutral,'New snom Webinar Nov Accelerate Microsoft Lync Deployments with snom UC Register here VARs phones'
microsoft,neutral,'st public test release for the Roslyn project giving APIs to the C compiler and visual basic but microsoft'
twitter,neutral,'RT Tired of those spammy Twitter DMs twitter spam'
google,irrelevant,'Excelente Proximo cel RT Presentanción Android y Samsung Nexus Prime Google Se jodió iOS'
apple,irrelevant,'Oja ik ben gelijk al mijn apps kwijt bedankt'
microsoft,neutral,'Microsoft researchers want to turn your hand into a touchscreen Institute University accuracy applications'
microsoft,irrelevant,'Microsoft Security Essential gt Microsoft'
twitter,neutral,'Winnipeg needs better local news coverage tired of not being in the know Thanks twitter'
apple,neutral,'Saw that is covered with msgs steve jobs Nice to kno ppl r still saying thankyousteve'
google,irrelevant,'Ice Cream Sandwich Android gepresenteerd via android tablet google'
microsoft,irrelevant,'Cachando que aparte de ser un maestro geek también escribe novelas microsoft'
google,neutral,'Is Google planning to launch its own iTunes rival The Times of India google'
twitter,neutral,'I wishh twitter would tell me who retweets my stuff'
twitter,irrelevant,'putamadre hay gente que pasa todo el día poniendo sus problemas de amor cada minutos en FB consiganse una cuenta de twitter losers'
google,neutral,'Google releases new features for presentations in Google Docs Google is rolling out a s google googleplus'
google,neutral,'ICS putting people at the heart You have GOT to be joking Google Now even copying slogans Ah I get it THOSE are not patented'
google,neutral,'LOL google'
google,irrelevant,'mejor consulta ana y mia en google hahahha'
apple,positive,'RT Im OVER people bitching about the iPhoneS I think its the smartest phone Ive ever had and Im very happy'
microsoft,neutral,'seguridadparatodos is using Microsoft Security Essentials and you thx Our analysis Spanish'
microsoft,negative,'Microsoft just bought Skype officially So hows the future of Skype on any other devicesoperating systems'
twitter,irrelevant,'Bueno twitter OoF q paSen Buenas nOChe Acuerdese ya tah buenOh haha xD'
google,irrelevant,'Para los que tenemos un GalaxySII no se preocupen está confirmado que tendremos Android en este GRANDIOSO terminal Google'
microsoft,negative,'Oh how much do I loathe microsoft An hour to configure updates which it is then unable to do so another mins reverting changes'
google,neutral,'How to use Google Alerts to seo search google hack sem it business web marketing online yes hot winning'
twitter,neutral,'the marijuana loud so the hoes follow like Twitter'
twitter,positive,'twitter is jumpin as usual'
apple,neutral,'Will s Mac ever properly be used in the financial markets or is it purely a creatives device Shift from IBM to Mac finpanther'
apple,neutral,'s Siri is great but Google Android always had that functionality youtubegGbYVvUZs justsaying'
microsoft,neutral,'CNET Microsoft OmniTouch allows multitouch input on arbitrary everyday surfaces via'
apple,neutral,'karaoke ceel w p'
google,neutral,'Ice Cream Sandwich to stop carriers bullying smartphone users google android'
microsoft,negative,'haha k thought everybody knew Microsoft sucks'
microsoft,irrelevant,'Microsoft lanza sitio oficial de Skype'
apple,irrelevant,'get ready Tampa Bay the Martins are coming to town Bring it on Buccaneers'
microsoft,neutral,'Infosys Microsoft team up to offer cloud services'
microsoft,neutral,'What to Consider When Migrating to Microsoft Exchange yousendit booth gartnersym'
twitter,irrelevant,'PartyLiveFree TWITTER FOLLOWERS FACEBOOK LIKES YOUTUBE VIEWS EMAIL BLASTS ETC getmorefacebookfanpagelikes'
google,neutral,'Personalfinance security startup raises mn from KhoslaVentures Peter Thiels n Google'
google,positive,'Infinite Spiral Bookcase for Google Books looks amazing interested to see where it is headed'
microsoft,negative,'Microsoft knows how to kick off an opening but I dont quite see the edge for Windows Phone or their tablets iSorry'
google,irrelevant,'RT La recherche cryptée sur Google étendue aux utilisateurs connectés un service Google'
apple,neutral,'please put the Tab button back in Pages for iPad That hold my finger down wait for the insert tab then touch that for the tab SMH'
google,neutral,'Soooooo All eyes on you When can we order Nexus Samsung Google ICS'
apple,neutral,'RT I already have an ATT wireless line Can I buy a factory unlocked iPhone S with my contract'
apple,neutral,'California Governor declares today SteveJobsDay in his State Music video tribute'
twitter,irrelevant,'Ehhhh yOO Diiqooo lO que quiierooo xk es Miii Twitter'
microsoft,neutral,'RT and now presenting on SharePoint upgrade planning at our SharePoint ECM Summit at the M'
apple,positive,'Apple sells million iPhones in days keep doing what you are doing because you are doing it well'
google,positive,'Very nice trivia game by Google Helps you use their search better fb'
google,irrelevant,'GoogleAmazon google amazon'
apple,negative,'Yellowgate Some iPhone S Users Complain of Yellow Tint to Screen'
google,neutral,'Android Google Whats New in Ice Cream Sandwich Android DhilipSiva'
twitter,irrelevant,'Eso digo yo pa estar uno emboltijado viendo pelis de terror y no bajando los canastos en Twitter ajajajajaja'
apple,negative,'RT Wow worst customer service experience ever Arrogant and inept Bad combo Biltmore Apple store'
google,neutral,'Chrome Experiment WebGL Bookcase Google'
google,irrelevant,'gtgt Google BuzzGoogle google buzz'
apple,neutral,'whats incredible is that people still buy into apple as world beatersnot true anymore'
twitter,irrelevant,'Que buenas frases que hay en twitter me parece que voy a hacer un libro jaja'
google,neutral,'Google updates Nexus site with Galaxy Nexus details android google'
google,irrelevant,'Google y Samsung presentan NexusGalaxy el Android más potente del mercado y el primero en llevar el nuevo I'
microsoft,neutral,'Microsoft Boxes Up Two New Xbox Holiday Bundles With the holiday season just around the'
google,neutral,'And thanks to TWITs AAA crew for the live coverage of the Google Samsung announcement'
twitter,positive,'I lovee Twitter swaag'
twitter,positive,'There is no social media without Twitter Who could be Twitterless'
microsoft,neutral,'Job ICT System Administrator Windows GSI Consultants Zug Microsoft IT'
twitter,irrelevant,'me retiro otro dia compartimos nuestras leccionesparalavida con el mundo de twitter jajaja'
microsoft,neutral,'How to install Windows What to do before start Part via win tech software backup microsoft'
google,irrelevant,'google Jeux dété robes du soir e empire Jeux dété robes Empire robe de soirée robe d wikileaks'
apple,irrelevant,'epicfail bij upgraden naar IOS instellingen kwijt en ebooks verloren het kost me dus geld zon upgrade WAARDELOOS'
apple,negative,'I am so done with and s profitering and lack of customer service so fucking down with both'
microsoft,neutral,'RT Start your private cloud fast with the new HP VirtualSystem for Microsoft HP Microsoft HyperV Syste'
google,irrelevant,'Salut les twittos Un petit résumé de cet conf ICS GOOGLE'
microsoft,neutral,'Microsoft are patenting applying personas of celebrities to Bing results'
microsoft,neutral,'the entreprise version of Microsoft office is not available yet in Algeria i guess'
twitter,irrelevant,'si voz lo que me perdi pero almenos lo disfrute twitter lo mejor'
apple,irrelevant,'sail phoenix next stopgt after quimera rock house'
microsoft,negative,'Reader Tronman compares SteveBallmer to an albatross around Microsofts neck Do you agree Join the discussion'
apple,neutral,'Siri I could have done with out its not that great iPhoneS I hear the iPhone is coming out inc'
apple,positive,'The iphones is amazing Siris voice recognition is absolutely a step above previous attempts Bravo'
microsoft,neutral,'Kinect projector makes all surfaces touchscreen ar touch microsoft xbox gaming games'
google,neutral,'Google announces dates for IO'
google,irrelevant,'Das neue Google Galaxy Nexus haut mich nicht so sehr vom Hocker Ist meiner Meinung nach nur ein wenig besser als das SGS'
microsoft,neutral,'Rumor New screen sizes specs coming to Windows Phones windowsphone microsoft A rumor has surfaced that sugg'
apple,neutral,'iMessage is here wid iOS RIP BBM'
google,irrelevant,'google Google anuncia Galaxy Nexus com Android'
microsoft,neutral,'Follow for insight on Microsoft solutions which drive productivity for people and their organizations'
twitter,irrelevant,'TwitTer Donde la gente Te confiesan Su Vida sin Preguntar Oo'
apple,positive,'RT Lmao I think is onto something magical I am DYING haha Siri suggested where to find whores and where to h'
apple,neutral,'Y U NO LET ME PREORDER IPHONE S'
microsoft,irrelevant,'RT Great job today Engaging presentations from Kofax and at the Microsoft T'
apple,neutral,'store dude i hear an accent where ru from me no from ct but ur not st tell me that dude maybe its'
google,irrelevant,'AsiaClassifiedToday Asian stocks rise on Europe debt plan hopes Belleville News Democrat asia google ads'
twitter,neutral,'Time for bed good night twitter'
google,neutral,'The competition Google introduces Android Ice Cream Sandwich and the Galaxy Nexus'
apple,negative,'Seriously I have absolutely no offing clue what means by authorization nor how to do it'
microsoft,positive,'lt u microsoft'
microsoft,irrelevant,'Ben ik de enige met serieuze bedenkingen Howest wordt proefschool konijn voor Microsoft Office'
microsoft,irrelevant,'Steve Balmer a beau tre compltement barge il a parfois des discours qui font mouche Ici sur le Cloud Microsoft'
twitter,irrelevant,'TwitterSplitter Gottes Kindergarten Willkommen in der grten Irrenanstalt der Welt via'
google,negative,'WHERE THE HECK IS THE SOURCE CODE WTF GOOGLE'
google,irrelevant,'Surfactants pdf ebook google'
apple,irrelevant,'iPad iPad Generation generalberholt ab'
twitter,neutral,'Pls let us know if you need help w music marketing promo We got Twitter Youtube on lock'
twitter,irrelevant,'hace unos días tenía mensajes de email lo que más quiero es leerlos todos acabo de ver y tengo y lo peor facebook twitter'
apple,negative,'Ok Hindi keyboard in iOS is something to cheer about But what about support for missing Indian languages FAIL'
microsoft,irrelevant,'Great job today Engaging presentations from Kofax and at the Microsoft Tech Center in Irvine'
apple,irrelevant,'ninguem desliga o g do celular Olha aqui na proxima atualizaao eu quero um atalho pra ligardesligar a g Ok'
apple,neutral,'and with a URL that works'
twitter,neutral,'ma g wass good with you Didnt even kno you was on twitter when was the last time you touched down in the city'
apple,positive,'This good here iPhone will do me VERY well today Thanks to the gods that are'
google,positive,'Very nice trivia game by Google Helps you use their search better'
microsoft,neutral,'RT microsoft edu Microsofts Kinect brings playful learning to the Xbox The Guardian'
twitter,irrelevant,'BuenDia Twitter Visite nuestra web y recomiendenos desde el boton tweet'
apple,negative,'should be studying doing work but no Im hold with HURRY THE FUCK UP nopatience'
twitter,neutral,'Re twitter positive opinions vs negative'
apple,negative,'Deár iCloud I HATE U AND I HOPE YOU DIE YOU ARE THE WORST FUCKING INVENTION IN THE WORLD FUCK YOUUUUUUUUUUUU iCloud'
twitter,neutral,'Swaagg me outt twitter'
twitter,irrelevant,'Bueno y ya dejen ese trasteo masivo de frases de twitter al facebook CREATIVIDAD GENTE CREEAAATIIIVIIIDAAAD'
microsoft,neutral,'Love the template name Microsoft Everyone that does SharePoint go to your sites layoutsxslinternalxsl for a laugh'
microsoft,neutral,'How to oranise and sort your emails with the categories feature in Microsoft Outlook'
microsoft,neutral,'Microsoft has the edge in its cloud integration across its different platforms Tablets still definitely lag behind though'
apple,neutral,'And I still have an old MBP from which I use which cant run Lion I still like to sync it'
google,neutral,'WOW that AmberCole video hit Google Im done haha'
twitter,neutral,'Told myself I was in the bed early tonite somehow I end up back in the computer lab on Twittersmh guess its the Gemini in me'
google,irrelevant,'P Gostei do novo sistema de reconhecimento facial do Android To forte que no liberou nem o dono do smartphone Google ICS'
twitter,irrelevant,'RT ese poco de pensamientos y frases de manes en twitter son pura pendejadas me imagino que no cumplen con ninguno'
microsoft,irrelevant,'MSXP Microsoft WindowsXP'
microsoft,neutral,'Steve Ballmer slams Android microsoft steveballmer microsoft'
microsoft,irrelevant,'Dropbox el servicio de almacenamiento en la nube por las nubes web microsoft tecnologia'
apple,neutral,'Here is an easy way to put Newsstand in a folder'
apple,neutral,'The takeaway from the earnings call Even Apple needs a new iPhone release every months to stay competitive cc'
microsoft,irrelevant,'ya quítale esa mugrera de Microsoft OS Vamos a dejarla limpia y andando aprovecha el nuevo Ubuntu que jala hasta en cels'
microsoft,negative,'I did the best of everyone who failed Bill Gate Microsoft'
microsoft,neutral,'Steve Ballmer Bunch of new Nokia Windows Phones coming next week via wp nokia microsoft'
apple,positive,'dammit listening to siri is making me want to upgrade well played'
google,neutral,'Is it bad if I just want it because its called the icecreamsandwich android sansung google'
microsoft,irrelevant,'En daar gaan we weer pakt vergrootglas erbij zoeken naar die leuke nieuwe collega vacature microsoft'
apple,neutral,'The great tech battle ft and more via'
google,neutral,'Google is introducing GalaxyNexus You can unlock you phone by smile Other then thatget an iPhone'
twitter,irrelevant,'RT twitter'
apple,positive,'the nice guy at the store replaced my phone gratis when I showed him the hairline crack on the screen thanks'
twitter,neutral,'I dont see the point of following a news station on twitter if theres breaking news people are gunna tweet about it anyway obvs'
google,neutral,'Google WebGL Bookcase Google WebGL Bookcase Google developed a WebGL app that shows a D model of a bookcase'
twitter,positive,'I like twitter'
google,positive,'have to finish faster the only way is to google it google D'
apple,negative,'The line at the is just STUPID'
microsoft,neutral,'Why do Linux fanatics want to make Windows less secure linux microsoft'
twitter,neutral,'I put the picture up on twitter I did it cause everyone on twitter is cool and your not getsamanthaofftwittereveryone'
microsoft,neutral,'Microsoft excludes tablets from its holiday advertising push'
google,irrelevant,'Google Google und Samsung stellen das Galaxy Nexus und Android Ice Cream Sandwich offiziell vor mobiFlipde'
twitter,positive,'RT twitter can be so useful on letting out your feeling when you cant in the real world'
twitter,irrelevant,'El dia de hoy esta muy flojo el Twitter qe pasaa DDDDDDDD la apocalipsis ok no jaja'
google,positive,'Dostupan SDK WOW RESPECT Google IceCreamSandwich'
google,irrelevant,'Wordt er al een beetje gebruik gemaakt van google durtevragen'
google,irrelevant,'SEO VideoSpecifying an images license using RDFa google seo images rdfa'
microsoft,neutral,'Microsoft Cloud Windows Intune Microsoft Offers Cloud Partners New Incentive calendar year whi TCN'
apple,neutral,'after being on hold with for the last mins i really like their music selection of onhold music White Stripes Ray Lamontagne'
apple,positive,'RT I FUKING LOVE YOU this phone is the best thing ever SIRI BEST THING EVER MADE'
google,irrelevant,'Welchen Vorteil bietet G fr Facebook basic Google'
apple,irrelevant,'Welp RT you didnt fall too far from me huh RT Nia Longs mom is gorgeous'
twitter,irrelevant,'o olha o papel de fundo do meu TWITTER se vai raxa HSAUHSAUASHASUHSUSHAUHSUASHUASHASHUASH'
twitter,irrelevant,'Bienvenida al mundo twitter Te quiero mucho Azucena'
google,neutral,'Samsung Galaxy Nexus announced full specs available samsung galaxy nexus google android ics thetechcheck'
google,neutral,'The Great Tech War Of Apple Facebook Google Amazon'
twitter,neutral,'lmao I love it please be on twitter all the time so I have another friend to'
microsoft,irrelevant,'Un pao más y será el primer Microsoft Partner Gold en Application Lifecycle Management ALM del país WIN'
microsoft,irrelevant,'Vanmiddag woon ik een ETTU evenement over zaakgericht werken met SharePoint bij microsoft op schiphol bij'
apple,irrelevant,'Do not check other site for Ed Hardy Black Long Sl'
microsoft,irrelevant,'Wordperfect Windows Microsoft Bill Gates llamado a declarar por un antiguo caso de monopolio contra Microsoft'
apple,negative,'screw you iOS I cant download this crap and Im tired of trying Get this problem figured out about my connection timing out'
twitter,neutral,'Facebook and Twitter Off'
microsoft,neutral,'Microsoft CEO SteveBallmer on Not Buying Yahoo Sometimes Youre Lucky'
twitter,irrelevant,'Nossa meu BG aqui no Twitter está uma coisa pavorosa preciso recortar essa foto de novo meu rosto ficou todo deformado hahaha'
microsoft,neutral,'Why Ice Cream Sandwich Might Make Things Worse Google needs to look to Microsoft as an example via'
twitter,positive,'I keep forgettin how much i really like Twitter lol'
twitter,neutral,'This nigga need to go to Twitter JailDAAAYUM DOG lOl'
apple,neutral,'the new iPhone'
google,neutral,'Google Buzz to the junkyard along with four other services including Jaiku gt liked Jaiku'
microsoft,neutral,'Any Microsoft trainers in Oxfordshire who offer free training to local charities Unfortunately out of my catchment area'
microsoft,negative,'I am quickly falling in love with Apple iCloud Finally a webbased solution to wave my old Microsoft Outlook byebye'
microsoft,irrelevant,'videohovory na facebooku jsou skvlé Microsoft by mohl integrovat tuto funkci do dalí aktualizace windowsphone pak to bude geniální'
microsoft,neutral,'The War of Email Cloud Computing Google vs Microsoft'
google,irrelevant,'Google Samsung Galaxy Nexus Android Ice Cream Sandwich'
apple,neutral,'Great Tech War of profiles on ht'
apple,neutral,'RT Hey and this is pretty dumb'
google,irrelevant,'Todavía existe Google'
twitter,irrelevant,'twitter se me hiso vicio'
twitter,irrelevant,'Me acuerdo cuando abri twitter el primer follow que di fue a PistokO'
apple,negative,'Waited in line for nothing fucking genius called an app for John not jean stop fucking up my name im not a French boy PCam'
microsoft,neutral,'Talk talk talk release the phone already before they are completely obsolete Nokia Microsoft'
microsoft,neutral,'Free Genuine Copy Microsoft Windows PreBeta OS I dont know how long its been out'
google,positive,'Cant build a website Get a Google website Free'
google,irrelevant,'RT android beam Android Google'
microsoft,negative,'skype is now part of stupid microsoft it seems'
google,irrelevant,'Como es posible que Motorola siga bloqueando los bootloaders de sus telefono Merecen quebrar y con ellos google MotoFAIL'
twitter,neutral,'Twitter must be sharing caring interacting socializingDon t K does who ignore youGive a K to thise who truly are social'
twitter,irrelevant,'Nada como darle vida de nuevo a mi twitter'
twitter,neutral,'My cuz is new to twitter drop him a follow and show him some love Esp if you like Canes Jets Yankees Knicks sports'
twitter,neutral,'I had to inform my twitter account that you werent a stranger and give you permission to see my stuff Not sure why that is'
twitter,neutral,'step your twitter game up is starting to catch up'
twitter,irrelevant,'Mention Twitter and get a Pittsburgh HVAC and Electrical systems Checkup for Contact'
microsoft,positive,'Microsoft dishing out free firstgen WP handsets at its stores'
microsoft,neutral,'Microsofts Steve Ballmer attacks Android phones windows android microsoft google'
apple,negative,'shhhh the evil sith lords may hear you ha'
microsoft,neutral,'RT SIGSource Microsofts Tami Reller says get on the bus and if you dont want to be on the bus get off the road'
microsoft,neutral,'we strongly recommend students that are following us to sign up for the imaginecup contest microsoft'
twitter,neutral,'twitter is not eharmony'
microsoft,neutral,'Good luck to CPG team RT MindTree Introduces mPromo TradePromotion Solution on Microsoft Azure CGT'
microsoft,neutral,'Microsoft drops developer preview of its Roslyn compiler'
microsoft,neutral,'RT Anyone know where I can get a free trial of microsoft frontpage for mac'
microsoft,irrelevant,'Microsoft fulminate de este planeta como puede hacer eso a Android y a todos los desarrolladores y usuarios'
google,neutral,'Google thinks your digital books belong on a digital bookcase a WebGL Chrome experiment'
microsoft,irrelevant,'microsoft Microsoft Bill Gates in tribunale sotto accusa Windows isarenas'
apple,irrelevant,com
google,irrelevant,'Possibilité de voir les mises jour un peu comme Sony Ericsson avec lintégration Facebook google nexusprime'
google,neutral,'Massive Galaxy NexusIce Cream Sandwich Recap galaxynexus Google ics Samsung'
microsoft,neutral,'RT Steve Ballmer Nokia to reveal multiple Windows Phone devices next week Microsoft may make their own'
google,neutral,'On Google then go here GPlus Googleplus Google teamfollowback socialnetwork'
twitter,neutral,'RT My twitter age is years days hour minutes seconds Find out yours at twittertime'
twitter,neutral,'enjoy Twitter Buzz Builds for the OccupyWallStreet Movement CHARTS great'
google,irrelevant,'RT GalaxyNexus es presentado oficialmente Conoce los detalles del nuevo teléfono de Google'
apple,neutral,'I am now the proud owner of tv thanks to big bro and family'
google,irrelevant,'Samsung y Google contraatacan a Apple con el nuevo Nexus Prime vía android tecnología'
twitter,irrelevant,'pues esto fue todo por hoy D bye FB sigo un rato más por twitter'
microsoft,neutral,'A Web service developed by Microsoft Research lets people curate their own personal history'
twitter,neutral,'SO I HAD HER MAKE A TWITTER SHES HOT SEXY EVERY ONE FOLLOW ONE MA NEW FOLLOWERS LEGOOO'
microsoft,negative,'Not the MS hate bit tho lt Waddya mean microsoft sucks bonobo monkeys asses Linux roolz For the extremists theres BSD'
microsoft,neutral,'Set up an environment where you get innovation Share those expectations with your suppliers SIGSource Microsoft'
twitter,neutral,'ps I would have never used the word playa over player if Twitter wasnt so restrictive'
microsoft,irrelevant,'Une nouvelle interface haptique signée Microsoft et CanergieMellon OmniTouch Tactile et wearable cc'
google,neutral,'Google unveils whats new in Android Ice Cream Sandwich'
google,irrelevant,'Olha o tamanho desse CRNIO xD Google Android'
apple,irrelevant,'Store fb'
twitter,irrelevant,'Que bueno que hay gente que no te lee aqui en twitter D'
apple,neutral,'RT RT fan Eric Holder spotted at the Genius Store'
apple,neutral,'IHS iPhone S shows key design and component changes apple iphomeS ios'
